ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_NEW_638,What D?,KIT,SHY,TRY,ATE,THY,D,The missing letters are ATE (DATE).
M3L_NEW_639,What E?,TIM,LOO,EYE,YAK,SAT,A,The missing letters are TIM (TIME).
M3L_NEW_640,Happy R.,PAD,HOU,IVY,ONE,EEL,B,The missing letters are HOU (HOUR).
M3L_NEW_641,Wait a MIN.,BEE,YET,LIT,HOT,UTE,E,The missing letters are UTE (MINUTE).
M3L_NEW_642,Split OND.,TOY,NET,NAY,SEC,JAG,D,The missing letters are SEC (SECOND).
M3L_NEW_643,Just a ENT.,MOM,HAG,SIT,LAD,AIR,A,The missing letters are MOM (MOMENT).
M3L_NEW_644,Good MORN.,ING,FOX,BAD,CAD,NOT,A,The missing letters are ING (MORNING).
M3L_NEW_645,High N.,HOP,OUR,LAY,NOO,NAG,D,The missing letters are NOO (NOON).
M3L_NEW_646,Good ERNOON.,EAT,ENT,AFT,RAT,LOO,C,The missing letters are AFT (AFTERNOON).
M3L_NEW_647,Good EVNG.,POT,ASH,MAG,FRY,ENI,E,The missing letters are ENI (EVENING).
M3L_NEW_648,Good HT.,NIG,FLY,GET,LAY,LAD,A,The missing letters are NIG (NIGHT).
M3L_NEW_649,At MIDNI.,ASH,GHT,ZOO,ADO,LOO,B,The missing letters are GHT (MIDNIGHT).
M3L_NEW_650,At D.,AWN,TOP,ZOO,ONE,ILL,A,The missing letters are AWN (DAWN).
M3L_NEW_651,At D.,USK,ADD,SAG,WET,EYE,A,The missing letters are USK (DUSK).
M3L_NEW_652,In LIGHT.,MET,TWI,FAD,THE,CAT,B,The missing letters are TWI (TWILIGHT).
M3L_NEW_653,Watch RISE.,SUN,NEW,HAG,RAT,RAD,A,The missing letters are SUN (SUNRISE).
M3L_NEW_654,Watch SUN.,SET,CAN,ODD,BAT,YET,A,The missing letters are SET (SUNSET).
M3L_NEW_655,Bank IDAY.,HOL,SAD,THE,DOT,ACT,A,The missing letters are HOL (HOLIDAY).
M3L_NEW_656,Summer VACON.,ATI,WHY,HOT,FEE,AGE,A,The missing letters are ATI (VACATION).
M3L_NEW_657,Tea BK.,BIG,JAY,OUT,REA,BY,D,The missing letters are REA (BREAK).
M3L_NEW_658,Have a R.,GET,LEE,MOO,EST,HAD,D,The missing letters are EST (REST).
M3L_NEW_659,Deep SP.,RED,INK,LIT,LEE,MAN,D,The missing letters are LEE (SLEEP).
M3L_NEW_660,Sweet DR.,FAT,WAY,SIT,EAM,WHY,D,The missing letters are EAM (DREAM).
M3L_NEW_661,Bad NTMARE.,LET,FIT,ACE,IGH,MET,D,The missing letters are IGH (NIGHTMARE).
M3L_NEW_662,Wide KE.,AWA,POT,ILL,FIT,GAG,A,The missing letters are AWA (AWAKE).
M3L_NEW_663,Sit D.,NET,NOT,OWN,NAY,BOY,C,The missing letters are OWN (DOWN).
M3L_NEW_664,Jump R.,OVE,OWL,SAY,FAD,TOY,A,The missing letters are OVE (OVER).
M3L_NEW_665,Duck UN.,FOX,GAG,INN,EVE,DER,E,The missing letters are DER (UNDER).
M3L_NEW_666,Go OUGH.,MAN,OAR,NET,THR,HAG,D,The missing letters are THR (THROUGH).
M3L_NEW_667,Go RO.,ATE,UND,LOO,SUN,ARM,B,The missing letters are UND (ROUND).
M3L_NEW_668,Go OSS.,ACR,ING,MAT,INK,LAG,A,The missing letters are ACR (ACROSS).
M3L_NEW_669,Go AG.,POT,NAY,LON,EAT,ZOO,C,The missing letters are LON (ALONG).
M3L_NEW_670,Walk P.,AST,MET,PAY,RAT,JAY,A,The missing letters are AST (PAST).
M3L_NEW_671,Go ORE.,OUS,ILL,BAG,BEF,TOY,D,The missing letters are BEF (BEFORE).
M3L_NEW_672,Go ER.,WHY,TOP,AFT,EST,DOT,C,The missing letters are AFT (AFTER).
M3L_NEW_673,Go T.,LOO,BET,AIR,NEX,BAT,D,The missing letters are NEX (NEXT).
M3L_NEW_674,Go L.,EAR,FOR,KAY,BOO,AST,E,The missing letters are AST (LAST).
M3L_NEW_675,Go FT.,GAY,TEE,IRS,ADD,HOP,C,The missing letters are IRS (FIRST).
M3L_NEW_676,Go SED.,CON,SET,TAD,HAD,GAY,A,The missing letters are CON (SECOND).
M3L_NEW_677,Go TH.,JOY,ALL,MAG,IRD,CAT,D,The missing letters are IRD (THIRD).
M3L_NEW_678,Go FTH.,OAK,OAR,PET,OUR,CRY,D,The missing letters are OUR (FOURTH).
M3L_NEW_679,Go FI.,FTH,HOP,PAD,LAD,ILL,A,The missing letters are FTH (FIFTH).
M3L_NEW_680,Lucky NUM.,BAD,BER,DAY,FEE,FRY,B,The missing letters are BER (NUMBER).
M3L_NEW_681,Head CO.,UNT,THE,TAD,LEE,ADD,A,The missing letters are UNT (COUNT).
M3L_NEW_682,Take SUBCT.,BAY,ALL,ACE,AIM,TRA,E,The missing letters are TRA (SUBTRACT).
M3L_NEW_683,Times MULTY.,DAD,IPL,YET,POT,BOY,B,The missing letters are IPL (MULTIPLY).
M3L_NEW_684,Share IDE.,LET,RUN,DIV,WAY,EGG,C,The missing letters are DIV (DIVIDE).
M3L_NEW_685,Sum TO.,BOO,COT,TAL,MAN,ACT,C,The missing letters are TAL (TOTAL).
M3L_NEW_686,Is AL.,FAD,EQU,KIT,MAY,WHY,B,The missing letters are EQU (EQUAL).
M3L_NEW_687,More or L.,FAD,SIT,ESS,MOO,EEL,C,The missing letters are ESS (LESS).
M3L_NEW_688,Once E.,OIL,HAY,OWN,MOR,APE,D,The missing letters are MOR (MORE).
M3L_NEW_689,The M.,OST,TOO,ASK,JAY,THY,A,The missing letters are OST (MOST).
M3L_NEW_690,At LT.,EAS,ENT,ODD,RUN,EYE,A,The missing letters are EAS (LEAST).
M3L_NEW_691,How Y?,MAD,MAN,OFF,ADD,INN,B,The missing letters are MAN (MANY).
M3L_NEW_692,How H?,LIT,CAT,NOT,LAG,MUC,E,The missing letters are MUC (MUCH).
M3L_NEW_693,A PE.,IEC,LOO,FAD,AIM,PAD,A,The missing letters are IEC (PIECE).
M3L_NEW_694,A T.,PAT,CAT,YAK,TOO,PAR,E,The missing letters are PAR (PART).
M3L_NEW_695,The WH.,OLE,OAK,OUT,ACT,DOT,A,The missing letters are OLE (WHOLE).
M3L_NEW_696,A F.,WAY,LOT,OPT,ACE,HAL,E,The missing letters are HAL (HALF).
M3L_NEW_697,A QTER.,NAY,UAR,ODD,OUT,AGE,B,The missing letters are UAR (QUARTER).
M3L_NEW_698,In PE.,OWN,DAY,WAG,SHA,SUN,D,The missing letters are SHA (SHAPE).
M3L_NEW_699,Round CIR.,EYE,FRY,CLE,SKY,POT,C,The missing letters are CLE (CIRCLE).
M3L_NEW_700,Box ARE.,HOP,IVE,SQU,MOO,BET,C,The missing letters are SQU (SQUARE).
M3L_NEW_701,Three ANGLE.,HOT,EAR,ZOO,TRI,LAG,D,The missing letters are TRI (TRIANGLE).
M3L_NEW_702,Long RECTLE.,FRY,ANG,CRY,MAY,BIT,B,The missing letters are ANG (RECTANGLE).
M3L_NEW_703,Five S.,TOP,RAG,TAR,IVY,EGG,C,The missing letters are TAR (STAR).
M3L_NEW_704,Love H.,EGG,ARM,YET,EAR,TOO,D,The missing letters are EAR (HEART).
M3L_NEW_705,Gem DIAM.,OAR,FIT,HAD,OND,CAN,D,The missing letters are OND (DIAMOND).
M3L_NEW_706,Egg AL.,OV,IVY,ODD,BOO,USE,A,The missing letters are OV (OVAL).
M3L_NEW_707,Ice E.,CUB,OLD,SET,ASK,EYE,A,The missing letters are CUB (CUBE).
M3L_NEW_708,Ball SP.,HER,OAK,RUN,DAY,GET,A,The missing letters are HER (SPHERE).
M3L_NEW_709,Ice cream E.,NET,CRY,CON,FOR,JAG,C,The missing letters are CON (CONE).
M3L_NEW_710,Tube CYDER.,LIN,MAY,SUN,EGG,ASK,A,The missing letters are LIN (CYLINDER).
M3L_NEW_711,Egypt PYID.,YAK,AND,RAM,MAN,BAG,C,The missing letters are RAM (PYRAMID).
M3L_NEW_712,Straight E.,PAY,LIN,SET,OLD,TOO,B,The missing letters are LIN (LINE).
M3L_NEW_713,Dot NT.,OAK,POI,JAG,RAT,ILL,B,The missing letters are POI (POINT).
M3L_NEW_714,Right GLE.,AN,ARM,USE,GET,HOT,A,The missing letters are AN (ANGLE).
M3L_NEW_715,Left DE.,WIT,WAY,SI,ART,BIG,C,The missing letters are SI (SIDE).
M3L_NEW_716,Sharp E.,HAG,ORE,DGE,JOY,OFF,C,The missing letters are DGE (EDGE).
M3L_NEW_717,Quiet NER.,COR,OIL,RED,HAD,EVE,A,The missing letters are COR (CORNER).
M3L_NEW_718,Town CEN.,ALL,TER,BAT,HOT,ODD,B,The missing letters are TER (CENTER).
M3L_NEW_719,In the DLE.,BOY,MID,JET,MAN,SUN,B,The missing letters are MID (MIDDLE).
M3L_NEW_720,On P.,TO,RUN,HOT,RED,MAY,A,The missing letters are TO (TOP).
M3L_NEW_721,At the BOTT.,EAR,OM,OUT,MAN,GET,B,The missing letters are OM (BOTTOM).
M3L_NEW_722,In ONT.,FR,FOR,USE,OUT,SIT,A,The missing letters are FR (FRONT).
M3L_NEW_723,At the CK.,OAR,IVY,BA,END,NET,C,The missing letters are BA (BACK).
M3L_NEW_724,Look INSE.,MET,ID,CRY,ODD,ASK,B,The missing letters are ID (INSIDE).
M3L_NEW_725,Look OUTS.,IDE,TOO,WIT,USE,RED,A,The missing letters are IDE (OUTSIDE).
M3L_NEW_726,Jump GH.,EAT,IVY,HI,ORE,END,C,The missing letters are HI (HIGH).
M3L_NEW_727,Stoop W.,OLD,LO,BOO,YAK,HIT,B,The missing letters are LO (LOW).
M3L_NEW_728,Dig EP.,DE,OUR,WEE,BOY,ART,A,The missing letters are DE (DEEP).
M3L_NEW_729,Water SHAOW.,OAR,ILL,LL,HOT,AGE,C,The missing letters are LL (SHALLOW).
M3L_NEW_730,Open W.,IDE,WAG,THE,ORE,OAT,A,The missing letters are IDE (WIDE).
M3L_NEW_731,Path NAR.,GET,HAD,ROW,FIT,MAY,C,The missing letters are ROW (NARROW).
M3L_NEW_732,Fog TH.,ALL,EYE,OAR,ICK,BIG,D,The missing letters are ICK (THICK).
M3L_NEW_733,Ice IN.,OUT,JAY,TH,ASK,OLD,C,The missing letters are TH (THIN).
M3L_NEW_734,Cat T.,FA,OAK,WIT,MET,BIG,A,The missing letters are FA (FAT).
M3L_NEW_735,Jim M.,GET,SLI,DAY,ORE,AGE,B,The missing letters are SLI (SLIM).
M3L_NEW_736,Tree LL.,TA,NET,SET,OUR,NEW,A,The missing letters are TA (TALL).
M3L_NEW_737,Story ORT.,PAY,SH,FOR,CRY,WIT,B,The missing letters are SH (SHORT).
M3L_NEW_738,Way NG.,LO,THE,AND,ONE,ODD,A,The missing letters are LO (LONG).
M3L_NEW_739,Deal G.,ART,FOR,BI,BAG,OAR,C,The missing letters are BI (BIG).
M3L_NEW_740,World SMA.,ODD,LL,ACT,RUN,WIT,B,The missing letters are LL (SMALL).
M3L_NEW_741,Giant GE.,ARM,OUT,IVY,HU,BOO,D,The missing letters are HU (HUGE).
M3L_NEW_742,Ant Y.,ART,WAY,TIN,JAG,HOT,C,The missing letters are TIN (TINY).
M3L_NEW_743,Friendly GIA.,FOR,NT,EGG,OUS,OAR,B,The missing letters are NT (GIANT).
M3L_NEW_744,Seven DWA.,RF,TOO,ALL,OFF,THE,A,The missing letters are RF (DWARF).
M3L_NEW_745,Load AVY.,ASK,EGG,HE,RED,DAY,C,The missing letters are HE (HEAVY).
M3L_NEW_746,Feather LIG.,SET,RUN,HT,FOR,OAT,C,The missing letters are HT (LIGHT).
M3L_NEW_747,Rock RD.,EVE,OUT,HA,HOT,BAT,C,The missing letters are HA (HARD).
M3L_NEW_749,Sea GH.,OUR,WIT,ROU,FIT,WEE,C,The missing letters are ROU (ROUGH).
M3L_NEW_750,Skin SMO.,OTH,ODD,ILL,MET,PAY,A,The missing letters are OTH (SMOOTH).
M3L_NEW_751,Knife ARP.,ACT,JAY,SH,RED,PIT,C,The missing letters are SH (SHARP).
M3L_NEW_752,Pencil BL.,CRY,UNT,OLD,TOP,USE,B,The missing letters are UNT (BLUNT).
M3L_NEW_753,Dog H.,OT,IVY,EVE,SET,MET,A,The missing letters are OT (HOT).
M3L_NEW_754,Feet LD.,SET,CO,WAY,NET,RUN,B,The missing letters are CO (COLD).
M3L_NEW_755,Heart RM.,WA,OAR,WEE,BAG,OAK,A,The missing letters are WA (WARM).
M3L_NEW_756,Dude OL.,GAY,CO,AGE,JAG,EGG,B,The missing letters are CO (COOL).
M3L_NEW_757,Paint T.,HOT,WE,ODD,SIT,NET,B,The missing letters are WE (WET).
M3L_NEW_758,Bone Y.,DR,ALL,BIG,CRY,MET,A,The missing letters are DR (DRY).
M3L_NEW_759,Shirt CL.,EAN,ARM,OUT,HIT,ASK,A,The missing letters are EAN (CLEAN).
M3L_NEW_760,Dog RTY.,DI,FOR,ART,ILL,EVE,A,The missing letters are DI (DIRTY).
M3L_NEW_761,Year W.,HAY,NE,EVE,RED,JET,B,The missing letters are NE (NEW).
M3L_NEW_762,Hat D.,OL,AND,ORE,SKY,PAY,A,The missing letters are OL (OLD).
M3L_NEW_763,Man YNG.,SET,OU,MET,RED,SUN,B,The missing letters are OU (YOUNG).
M3L_NEW_764,Man CH.,THE,ART,BOO,RI,OAR,D,The missing letters are RI (RICH).
M3L_NEW_765,Boy P.,OOR,SET,MAN,WEE,NET,A,The missing letters are OOR (POOR).
M3L_NEW_766,Car ST.,FA,SIT,ACT,HIT,USE,A,The missing letters are FA (FAST).
M3L_NEW_767,Worm OW.,SL,BIG,IVY,HOT,NET,A,The missing letters are SL (SLOW).
M3L_NEW_768,March QCK.,UI,IVY,THE,HOT,OUT,A,The missing letters are UI (QUICK).
M3L_NEW_769,Job OD.,GO,RED,HAD,ACT,OLD,A,The missing letters are GO (GOOD).
M3L_NEW_770,News D.,BOO,BA,ORE,SUN,AGE,B,The missing letters are BA (BAD).
M3L_NEW_771,Friend ST.,BE,HOT,OAR,OUT,RED,A,The missing letters are BE (BEST).
M3L_NEW_772,Enemy RST.,MET,EGG,WO,ARM,OUT,C,The missing letters are WO (WORST).
M3L_NEW_773,Luck BER.,AND,TTE,RED,MET,HOT,B,The missing letters are TTE (BETTER).
M3L_NEW_774,Luck RSE.,EVE,WO,SKY,ALL,JAY,B,The missing letters are WO (WORSE).
M3L_NEW_775,Hand GHT.,WIT,RI,ASK,HOT,BOY,B,The missing letters are RI (RIGHT).
M3L_NEW_776,Way WNG.,RO,EVE,SET,ARM,ODD,A,The missing letters are RO (WRONG).
M3L_NEW_777,Story UE.,FIT,FOR,TR,IVY,USE,C,The missing letters are TR (TRUE).
M3L_NEW_778,Teeth SE.,AND,FAL,FOR,EVE,BOY,B,The missing letters are FAL (FALSE).
M3L_NEW_779,Life AL.,ODD,RE,BOO,OUS,BIG,B,The missing letters are RE (REAL).
M3L_NEW_780,Fur KE.,OAK,FA,NET,HAD,PAY,B,The missing letters are FA (FAKE).
M3L_NEW_781,House FE.,BOY,SA,MAY,ILL,MAN,B,The missing letters are SA (SAFE).
M3L_NEW_782,Zone DAN.,HAY,GER,OUT,PIT,HOT,B,The missing letters are GER (DANGER).
M3L_NEW_783,Peasy SY.,FOR,EA,SET,WET,RED,B,The missing letters are EA (EASY).
M3L_NEW_784,Work RD.,ASK,HA,BOO,USE,JAG,B,The missing letters are HA (HARD).
M3L_NEW_785,Simon MPLE.,FOR,SI,IVY,NET,HOT,B,The missing letters are SI (SIMPLE).
M3L_NEW_786,Clogs CVER.,LE,RED,OUT,MET,OLD,A,The missing letters are LE (CLEVER).
M3L_NEW_787,Boy PID.,HOT,WIT,STU,HIT,BIG,C,The missing letters are STU (STUPID).
M3L_NEW_788,Billy LLY.,PAY,SI,OUR,ART,PIT,B,The missing letters are SI (SILLY).
M3L_NEW_789,Joke FUY.,WIT,NN,OAR,BOO,GAY,B,The missing letters are NN (FUNNY).
M3L_NEW_790,Song D.,SA,OLD,ORE,ARM,SET,A,The missing letters are SA (SAD).
M3L_NEW_791,Face HAP.,MET,PY,RED,SIT,IVY,B,The missing letters are PY (HAPPY).
M3L_NEW_792,Bird GRY.,EVE,AN,ASK,WIT,OUS,B,The missing letters are AN (ANGRY).
M3L_NEW_793,Bun OSS.,OAR,NET,CR,IVY,WET,C,The missing letters are CR (CROSS).
M3L_NEW_794,Down LM.,CRY,CA,JAY,TOP,JET,B,The missing letters are CA (CALM).
M3L_NEW_795,West LD.,HOT,WI,SUN,ORE,RUN,B,The missing letters are WI (WILD).
M3L_NEW_796,Lion ME.,NET,TA,OAR,USE,EGG,B,The missing letters are TA (TAME).
M3L_NEW_797,Shop P.,JAG,IVY,ET,WET,SET,C,The missing letters are ET (PET).
M3L_NEW_798,Farm IMAL.,HAG,AN,OLD,ORE,SET,B,The missing letters are AN (ANIMAL).
M3L_NEW_799,Keeper Z.,OUT,OO,EGG,USE,TOP,B,The missing letters are OO (ZOO).

M3L_NEW_800,Theme RK.,PA,ORE,RUN,JAG,ARM,A,The missing letters are PA (PARK).
